Date,Price,Open,High,Low,Volume,Change %
10/01/2025,"114,282.70","114,048.70","126,186.00","103,632.70",2.04M,0.21%
9/01/2025,"114,048.50","108,247.30","117,910.40","107,274.70",1.34M,5.38%
8/01/2025,"108,226.80","115,766.70","124,436.80","107,433.40",1.58M,-6.51%
7/01/2025,"115,765.00","107,176.40","123,104.70","105,163.50",1.68M,8.02%
6/01/2025,"107,171.10","104,598.00","110,404.90","98,249.20",1.45M,2.46%
5/01/2025,"104,598.00","94,181.30","111,953.60","93,408.80",2.03M,11.06%
4/01/2025,"94,184.40","82,548.60","95,718.60","74,524.20",2.29M,14.10%
3/01/2025,"82,548.80","84,353.40","94,986.50","76,677.10",2.37M,-2.17%
2/01/2025,"84,381.20","102,421.30","102,770.80","78,329.80",2.40M,-10.74%
1/01/2025,"94,536.10","94,600.00","95,928.10","89,423.10",55.30K,1.05%
12/01/2024,"93,557.20","96,404.70","108,244.90","91,522.30",4.41M,-2.95%
11/01/2024,"96,405.70","70,278.70","99,617.40","66,834.00",4.16M,37.17%
10/01/2024,"70,281.80","63,329.90","73,569.40","59,075.70",2.56M,10.96%
9/01/2024,"63,339.20","58,975.70","66,440.70","52,644.60",2.34M,7.39%
8/01/2024,"58,978.60","64,625.70","65,587.90","49,486.90",2.56M,-8.74%
7/01/2024,"64,626.00","62,768.80","70,000.20","53,883.40",2.06M,2.98%
6/01/2024,"62,754.30","67,533.90","71,956.50","58,589.90",1.60M,-7.07%
5/01/2024,"67,530.10","60,665.00","71,872.00","56,643.50",2.10M,11.31%
4/01/2024,"60,666.60","71,329.30","72,710.80","59,228.70",2.66M,-14.95%
3/01/2024,"71,332.00","61,157.30","73,740.90","60,138.20",2.70M,16.61%
2/01/2024,"61,169.30","42,580.10","63,915.30","41,890.50",1.74M,43.66%
1/01/2024,"42,580.50","42,272.50","48,923.70","38,546.90",2.03M,0.73%
12/01/2023,"42,272.50","37,712.90","44,697.60","37,618.30",1.63M,12.09%
11/01/2023,"37,712.90","34,648.30","38,400.80","34,124.20",1.48M,8.84%
10/01/2023,"34,650.60","26,962.50","35,191.40","26,558.40",1.61M,28.51%
9/01/2023,"26,962.70","25,938.30","27,480.70","24,923.10",1.15M,3.95%
8/01/2023,"25,937.30","29,232.30","30,168.60","25,481.90",1.34M,-11.27%
7/01/2023,"29,232.40","30,472.90","31,764.50","28,890.70",1.23M,-4.07%
6/01/2023,"30,472.90","27,216.40","31,395.40","24,838.00",1.77M,11.97%
5/01/2023,"27,216.10","29,252.10","29,816.40","25,853.10",1.66M,-6.96%
4/01/2023,"29,252.10","28,473.70","30,964.90","27,054.30",2.03M,2.73%
3/01/2023,"28,473.70","23,130.60","29,160.40","19,591.80",10.26M,23.10%
2/01/2023,"23,130.50","23,124.70","25,236.80","21,418.70",9.09M,0.02%
1/01/2023,"23,125.10","16,537.50","23,952.90","16,499.70",8.98M,39.83%
12/01/2022,"16,537.40","17,163.40","18,351.80","16,331.20",6.61M,-3.65%
11/01/2022,"17,163.90","20,496.10","21,464.70","15,504.20",10.30M,-16.26%
10/01/2022,"20,496.30","19,422.90","21,038.10","18,207.90",8.29M,5.53%
9/01/2022,"19,423.00","20,049.90","22,702.50","18,191.80",10.91M,-3.10%
